duplicate_content_group,audio_sha256,sample_id,source_row_index,audio_path_raw,speaker_id,accent,emotion,emotion_id,gender,metadata_conflict,conflicting_fields
dup_0051,3b68ce8c8d7f90b305762df4ce2cd333f32a0bc80e412982c921ada952800800,visec_hf_000156,156,00156.wav,19,north,happy,0,female,False,
dup_0182,95e09f5b8d8fe2761dcf95fef3e2de6185d0a3ac39bceea5ebf956e81b205270,visec_hf_000169,169,00169.wav,38,south,happy,0,male,False,
dup_0275,fb9d0a530a5d74885e0293e3d0186d4d0b03949c66818f728603ab7366234fdf,visec_hf_000179,179,00179.wav,52,north,happy,0,female,False,
dup_0060,41480bac7744b88909d986845d3ce3eddd243ab29214a038365d36d49406a0c1,visec_hf_000195,195,00195.wav,14,north,happy,0,male,False,
dup_0015,0f6d65fee9f57e5c3ea435c000aad42759f642bc5c2e88f633de4df754b5de4c,visec_hf_000201,201,00201.wav,6,central,happy,0,female,False,
dup_0071,4930d9ed91eefe9fd9c02e63149dfb20b5cbea673490d94ae8129d53743c7d41,visec_hf_000204,204,00204.wav,14,north,happy,0,male,False,
dup_0129,6d8e77b48ebccd83c8e25635ea2b8fa3f13476a5ee63edc2e2f242a7a130248a,visec_hf_000205,205,00205.wav,15,south,happy,0,male,False,
dup_0189,9e6ca2c2513e32493cbd173ad6a601f258f92d543d1cd3ff120a952464e1d4e7,visec_hf_000210,210,00210.wav,54,north,sad,2,female,False,
dup_0106,60aa7ccd0973eb961429f1f9d1d2cb73029dcc0046cd5d3659e1bc864828011f,visec_hf_000223,223,00223.wav,6,central,happy,0,female,False,
dup_0054,3c3fed5e278165350f5774e5342773abad1db91800b58be5c5b0bd4954047e53,visec_hf_000246,246,00246.wav,12,north,happy,0,male,False,
dup_0159,8990f11a7cd756684a96570a59e62ee82130bb50969195a47dcbcf13a3b66642,visec_hf_000270,270,00270.wav,54,north,sad,2,female,False,
dup_0228,c8b0ee8bcf9e68a7d8db2bcf2bb480eba2062638c29a28249274e358c109565e,visec_hf_000272,272,00272.wav,29,north,happy,0,female,False,
dup_0009,0cd3ad5ff3a4711fd94ef0b7ea9da97b336b75f421c82e9fd30d164a6168598a,visec_hf_000276,276,00276.wav,14,north,happy,0,male,False,
dup_0243,d9eac868b90ba32db87288ba38b65bd946e5e0aed886461717dab149c08d31ae,visec_hf_000286,286,00286.wav,68,south,happy,0,female,False,
dup_0249,e25326024a2a58eb08421c51d700c73ae96729f8c5abb3e2a3f7e2e29391872c,visec_hf_000287,287,00287.wav,60,north,happy,0,female,False,
dup_0019,13d909caa1d892346eec3e6f9af6d000408e45639ed71daec2ad75afd93a7120,visec_hf_000289,289,00289.wav,19,north,happy,0,female,False,
dup_0232,ce59e05ece8c1cdb8f5c9a7afa83477c452ee6d67933e79d75c3335c2d035799,visec_hf_000304,304,00304.wav,14,north,happy,0,male,False,
dup_0023,186e6e1551b1071c0c3a9b46eaf0faa47fea7ef6715c241ed0f5e60a61f9c2e2,visec_hf_000326,326,00326.wav,72,central,happy,0,male,False,
dup_0086,52006135803c914ed41296b6982b51a42205d08ee896531625a46640f8f869b8,visec_hf_000335,335,00335.wav,73,north,happy,0,female,False,
dup_0004,073a243da57d585fa4be461f4d29802e02c460560a9e06db50fbecd2e92ec02e,visec_hf_000340,340,00340.wav,12,north,happy,0,male,False,
dup_0253,e4f04a8f849b325b2effcfe19c0b2b3dda064c743a4320bf11621c2a4728242d,visec_hf_000375,375,00375.wav,57,north,happy,0,male,False,
dup_0128,6d26f020ac746fe6bf98aae1e35c7f4c5cf25244fe4e67fcda315c7ba2d228a8,visec_hf_000389,389,00389.wav,38,south,happy,0,male,False,
dup_0212,b263d24174013345f99238d89bf055b661241ef05d96fe7128ae6895e950ae50,visec_hf_000391,391,00391.wav,15,south,happy,0,male,False,
dup_0144,7e568675e669bbe79353be54eb1f113a5e96d92759ff36a4448a7d221b789dc1,visec_hf_000393,393,00393.wav,15,south,happy,0,male,False,
dup_0115,6718e0fc35199047fed2e75ff0a00713c803aac3551cfcb159af007b1a7ba5df,visec_hf_000421,421,00421.wav,60,north,happy,0,female,False,
dup_0150,8547cf3737971d6e9a090c4dc84693e444f0039d9b3d349ddcd537fbc65307d6,visec_hf_000423,423,00423.wav,38,south,happy,0,male,False,
dup_0071,4930d9ed91eefe9fd9c02e63149dfb20b5cbea673490d94ae8129d53743c7d41,visec_hf_000427,427,00427.wav,14,north,happy,0,male,False,
dup_0072,4939e67a578c5ee6498a5e35e886d2aa1650c289caa110454b1c3cb309731e86,visec_hf_000430,430,00430.wav,12,north,happy,0,male,False,
dup_0168,902806d7fd89116a26a36afee13b35b6a4f3982c39ac4cbd099937f69ec33253,visec_hf_000436,436,00436.wav,44,south,happy,0,female,False,
dup_0005,0900dfe213297176ee362b41c1dcf8c68736dc369be41f989447f07b1d505805,visec_hf_000451,451,00451.wav,15,south,happy,0,male,False,
dup_0127,6bae75b9e6d39f8ea46e014840d43827d11f3b14575e1c226bea5d6f7e4ac68c,visec_hf_000469,469,00469.wav,6,central,happy,0,female,False,
dup_0064,424ceb55a95ad6717cbe7d5f3c61a73b507aecb52f53de2bff9e7d6ba8553812,visec_hf_000488,488,00488.wav,15,south,happy,0,male,False,
dup_0248,e1b0738e7a3d5990f1515c3c4957e5d9adffb74ae0541c0345dd09336bdbd3bb,visec_hf_000489,489,00489.wav,87,north,happy,0,male,False,
dup_0107,615862a0f78cf9c6b3415b376644d03808d10df266819a53982f4d205b06ceb5,visec_hf_000494,494,00494.wav,33,central,happy,0,female,False,
dup_0067,45a9043d315a04ef9492883c77363ce7a5c27cc19b4ab2750b512276d6ebd8aa,visec_hf_000505,505,00505.wav,57,north,happy,0,male,False,
dup_0030,1d4f9fbe7114de0194b3ed3e8f19d8bcd771eaa74988f9c45833ea06a5263980,visec_hf_000513,513,00513.wav,72,central,happy,0,male,False,
dup_0039,2a2e5c5a0a6a14cafd7e338e79c014c007a4e1d721f5ff3871fe7f0a754f8970,visec_hf_000519,519,00519.wav,72,central,happy,0,male,False,
dup_0095,56c75791b6a2e9ea8662abc41053c711e61f6ee72aeda64a78784cde654b62b1,visec_hf_000524,524,00524.wav,73,north,happy,0,female,False,
dup_0233,cff1ad1da6bc8ddfb23093818f66f2cc20cca919b829bfaade4e54844c5fd6de,visec_hf_000526,526,00526.wav,41,north,happy,0,male,False,
dup_0191,a0d5b33f75753a398458c4f294bb17c5447c2b3218264a828166f5b717ba49ce,visec_hf_000529,529,00529.wav,6,central,happy,0,female,False,
dup_0023,186e6e1551b1071c0c3a9b46eaf0faa47fea7ef6715c241ed0f5e60a61f9c2e2,visec_hf_000539,539,00539.wav,72,central,happy,0,male,False,
dup_0080,4fdfcf0979b0bfe9db2124f32ff7f60461863f830b249f62814b067deb3a0125,visec_hf_000548,548,00548.wav,50,north,angry,3,male,True,emotion;emotion_id;speaker_id
dup_0178,93bc659b4b25b7ba4eb700d400fe1a587644a64200340bc894198900485d7545,visec_hf_000551,551,00551.wav,15,south,happy,0,male,False,
dup_0265,ee14e34ebd8db6ad8204f8cf6e9ba26b1aadb6f1b0403888c7c980210ae4b7e6,visec_hf_000574,574,00574.wav,38,south,happy,0,male,False,
dup_0216,b9baf9dfaec4fc1d220d208c26efd58964b3a0f15f442c6d0efb3a17aab06fa1,visec_hf_000577,577,00577.wav,6,central,happy,0,female,False,
dup_0086,52006135803c914ed41296b6982b51a42205d08ee896531625a46640f8f869b8,visec_hf_000583,583,00583.wav,73,north,happy,0,female,False,
dup_0082,50d4e7cfd2863561f3ed63f2ed17e4817fc2f1c1c8b4a0f8ccbd6fa39a31924d,visec_hf_000584,584,00584.wav,68,south,happy,0,female,False,
dup_0098,5adca6baeba36812370cada22f528069cd79f0409ab2c0998d3a30c85e4fdcd6,visec_hf_000595,595,00595.wav,92,central,happy,0,female,False,
dup_0097,572699faf25f965fac5943e256b09b51a9a92a4c6ec90aee7845262317897b71,visec_hf_000611,611,00611.wav,84,north,happy,0,male,False,
dup_0182,95e09f5b8d8fe2761dcf95fef3e2de6185d0a3ac39bceea5ebf956e81b205270,visec_hf_000641,641,00641.wav,38,south,happy,0,male,False,
dup_0235,d0ba8b629a69acbf4db9288fda937b5503ea3952c47c8cd590062d2f6b01cebf,visec_hf_000671,671,00671.wav,55,south,happy,0,female,False,
dup_0146,809ee8fc3b7f1fe51dfb160fdd3336ec71e498c0b66d8053d7b16ba41e05bdba,visec_hf_000674,674,00674.wav,6,central,happy,0,female,False,
dup_0209,b07832993d70c297db1682d8a0e10f9dac4c18d4048bbe152157020bbb414fe3,visec_hf_000680,680,00680.wav,77,north,happy,0,female,False,
dup_0111,6472e682e9333b7656cb0bcb498b7efc1284994bd755d4a8ae1ee7f7d851ed98,visec_hf_000696,696,00696.wav,15,south,happy,0,male,False,
dup_0172,91de4637a21a9b497d21830d096d3ae8f99605b3c1f56324f4c48a5701b0ab9a,visec_hf_000707,707,00707.wav,87,north,happy,0,male,False,
dup_0073,4a35190b53a30ae19fec28498b7b97d8e9be9257c562744e0dbd180008bd7e92,visec_hf_000717,717,00717.wav,15,south,happy,0,male,False,
dup_0043,2d3edbad3bf8d1c9e535b6203111298fa1fad63411013976c0d1062253ac3840,visec_hf_000740,740,00740.wav,3,north,happy,0,female,False,
dup_0213,b7635773dcf64c6bb6d676e9b85349a6b7a02f30083a44dba24baeb6782a14f9,visec_hf_000742,742,00742.wav,90,north,happy,0,male,False,
dup_0243,d9eac868b90ba32db87288ba38b65bd946e5e0aed886461717dab149c08d31ae,visec_hf_000747,747,00747.wav,68,south,happy,0,female,False,
dup_0129,6d8e77b48ebccd83c8e25635ea2b8fa3f13476a5ee63edc2e2f242a7a130248a,visec_hf_000751,751,00751.wav,15,south,happy,0,male,False,
dup_0187,9b1c687f1a6ea7150f6118c20485859b4bc9c4d7241db30d733c73392c8f9b71,visec_hf_000772,772,00772.wav,60,north,happy,0,female,False,
dup_0082,50d4e7cfd2863561f3ed63f2ed17e4817fc2f1c1c8b4a0f8ccbd6fa39a31924d,visec_hf_000774,774,00774.wav,68,south,happy,0,female,False,
dup_0037,28580662f31582b1295ba9ede987aa837f17356b116f5d24190738771c289371,visec_hf_000797,797,00797.wav,14,north,happy,0,male,False,
dup_0057,402a87cb1b17205a6b99065ebaba59e346ecdf16effdb2dfd234baa050856a46,visec_hf_000835,835,00835.wav,99,south,happy,0,male,False,
dup_0178,93bc659b4b25b7ba4eb700d400fe1a587644a64200340bc894198900485d7545,visec_hf_000843,843,00843.wav,15,south,happy,0,male,False,
dup_0171,919e274bfa996e044862656ccb6a7e20f8ecc95fbb87bdcdfc939f589cd1ac3f,visec_hf_000845,845,00845.wav,44,south,happy,0,female,False,
dup_0103,5f197e982686eedfd19c513f0cc42ff4f6cd5cead075407fbadd1fede7e7f266,visec_hf_000846,846,00846.wav,1,south,sad,2,male,False,
dup_0109,63933f3565b7ec5ea613dd66411431b78eccbbc764d5c008a6490e5195892af8,visec_hf_000854,854,00854.wav,108,north,happy,0,female,False,
dup_0221,c02441f6c34540ac471bd491699f8c733d3ab29173ca364b8eac78e37bfd24e6,visec_hf_000856,856,00856.wav,3,north,happy,0,female,False,
dup_0216,b9baf9dfaec4fc1d220d208c26efd58964b3a0f15f442c6d0efb3a17aab06fa1,visec_hf_000862,862,00862.wav,6,central,happy,0,female,False,
dup_0024,1a51861d193ee04bf76138946965e506553e8f1fe05e0d7fa8032188ddf28d6c,visec_hf_000877,877,00877.wav,15,south,neutral,1,male,True,emotion;emotion_id
dup_0092,5414784fae9f6267dcee4db68073bcd7058627d4f7c29754e791c951ab37ba1a,visec_hf_000879,879,00879.wav,29,north,happy,0,female,False,
dup_0212,b263d24174013345f99238d89bf055b661241ef05d96fe7128ae6895e950ae50,visec_hf_000900,900,00900.wav,15,south,happy,0,male,False,
dup_0110,6433c05b0a6697770b5d2ebcfb38cf353f680a869d3328e94f73927be3c5d31e,visec_hf_000906,906,00906.wav,12,north,happy,0,male,False,
dup_0255,e6b41cd6996e3068eda816d64e81d5094a837a22d27f807bec209de1fc2f1486,visec_hf_000930,930,00930.wav,32,south,happy,0,female,False,
dup_0207,ae961ba1fb98e882117aaa99ad4fea4d00be5cac215007b0a0ca45c1388b4299,visec_hf_000948,948,00948.wav,15,south,happy,0,male,False,
dup_0151,857d023e42b1686205bf8883bfe19ac32dabe56f0092561237957e2f8451693d,visec_hf_000990,990,00990.wav,95,north,happy,0,male,False,
dup_0031,1eaf92b198b552a3cec1a84b61ef5e41f13249264b126fb6c742573be630baee,visec_hf_000994,994,00994.wav,29,north,happy,0,female,False,
dup_0069,47c241b5c8b1a11221920ef821f5f2929bb3a40a425658575d1781deaff37b8c,visec_hf_001006,1006,01006.wav,66,north,happy,0,male,False,
dup_0029,1ce1c76db72b1e8dbc364e1949ce334a2fca913f34e16fb0d0e67bc9c69063cf,visec_hf_001043,1043,01043.wav,38,south,happy,0,male,False,
dup_0006,0922753e15009197722c249c031e312ce1150d55379dce547ac4bf1a4c724b6d,visec_hf_001056,1056,01056.wav,25,north,happy,0,male,False,
dup_0138,74f9a92c24f7924751bc9949295310f431fc85fdb815de862f82b06b95c81c83,visec_hf_001066,1066,01066.wav,87,north,happy,0,male,False,
dup_0232,ce59e05ece8c1cdb8f5c9a7afa83477c452ee6d67933e79d75c3335c2d035799,visec_hf_001076,1076,01076.wav,14,north,happy,0,male,False,
dup_0026,1bca7fd2d99118366ef5d0acec516debb4421a473ee29d07454b91c14f9adcb6,visec_hf_001080,1080,01080.wav,51,south,happy,0,female,False,
dup_0119,69cb1562b979cccea3212dfbe3df52fba394ab912f6c80729248bf58ee501e46,visec_hf_001082,1082,01082.wav,25,north,happy,0,male,False,
dup_0161,8bfff1776ad0a4775334d2d4adf4be2a7b06ecee5b03d9add058986d67ec10d0,visec_hf_001089,1089,01089.wav,3,north,happy,0,female,False,
dup_0211,b180e8a939216587b124506e13676b8eca125943588e5646deb4ee2244b8cb9e,visec_hf_001096,1096,01096.wav,38,south,happy,0,male,False,
dup_0055,3d701f0b63b3721a270ac542163566ff60f05a7d01910a7fbd5e5e19bfd53034,visec_hf_001107,1107,01107.wav,6,central,happy,0,female,False,
dup_0003,061f903ebe42919b175006446e5e3841cb25e9e6ffffd89d5e2352c3b0f0faf8,visec_hf_001108,1108,01108.wav,15,south,happy,0,male,False,
dup_0103,5f197e982686eedfd19c513f0cc42ff4f6cd5cead075407fbadd1fede7e7f266,visec_hf_001114,1114,01114.wav,1,south,sad,2,male,False,
dup_0117,67f7a599164f35a1634b642046c064f9a60968cf8657f62123f7b877bfd8ef9b,visec_hf_001119,1119,01119.wav,12,north,happy,0,male,False,
dup_0022,171e7bb915391bf2e11215da45791d9a638ba44a6e9a44adf286fc4cbae2d7e7,visec_hf_001122,1122,01122.wav,12,north,happy,0,male,False,
dup_0230,cd3fa668d0d0ccf24d17dde082217313fdf7e10dd5da2383eae670a19dbf5022,visec_hf_001127,1127,01127.wav,64,south,happy,0,male,False,
dup_0239,d2d2e4edeeb64a96066bb7559876a1c29c243f1f2dca1819cb0d10172989ed1d,visec_hf_001128,1128,01128.wav,82,south,sad,2,male,True,speaker_id
dup_0105,5fd9c3e27d73292885a714513de119e5534601f164b770e1874d11708cfcb86c,visec_hf_001136,1136,01136.wav,25,north,happy,0,male,False,
dup_0225,c4615f30550787ff0354115ae969c8eae546935991009a47a2d0bbbe245af8d8,visec_hf_001140,1140,01140.wav,87,north,happy,0,male,False,
dup_0176,9276fc57e18df2301716efae052f4d59520aa03fe2331e5cd678d830f629dad5,visec_hf_001142,1142,01142.wav,6,central,happy,0,female,False,
dup_0113,665c40f97b5e2195903e69e5f8b3add769bb18cceb759da63a4003f93cb4866e,visec_hf_001143,1143,01143.wav,6,central,happy,0,female,False,
dup_0132,6f8fd4a28064f0867a0a1a1409d3761cf622ff02febad617e000b44249189876,visec_hf_001147,1147,01147.wav,15,south,happy,0,male,False,
dup_0273,fb6bb6ec4174c9a60311f6887978fdf8aeac5da15403fcf02f1e4d3a689cac06,visec_hf_001161,1161,01161.wav,6,central,happy,0,female,False,
dup_0063,4241499440e19abb2f6729b6ff782d3a1f79c50063208ea0db845813bb5e3510,visec_hf_001170,1170,01170.wav,12,north,happy,0,male,False,
dup_0025,1b9f1069737b0ea5c7148ac7b3d36d1008d0e15f5cf95289698d46f594544fc1,visec_hf_001187,1187,01187.wav,57,north,happy,0,male,False,
dup_0013,0e9d32acc3d125b577118a333eee5f8986a74e7c64752b9117cf320213c49b72,visec_hf_001191,1191,01191.wav,15,south,happy,0,male,False,
dup_0248,e1b0738e7a3d5990f1515c3c4957e5d9adffb74ae0541c0345dd09336bdbd3bb,visec_hf_001195,1195,01195.wav,87,north,happy,0,male,False,
dup_0061,41b5247d8a8f749d36aebb06f318cef3ad856083191f8ce2f4002b46c7007286,visec_hf_001199,1199,01199.wav,6,central,happy,0,female,False,
dup_0223,c24946431a28484eba403a768497f6f9172758d49c81f722d2396831932e86db,visec_hf_001208,1208,01208.wav,39,south,happy,0,female,False,
dup_0094,5677aa707bf5ce27c41f2063948c65b042abe07e8023672985c8718d1f1e5a19,visec_hf_001253,1253,01253.wav,53,south,happy,0,female,False,
dup_0131,6f337c383d12436d9c568a3e1249f117c4601260e471b50d1e3934c7ba8f7cd2,visec_hf_001278,1278,01278.wav,39,south,happy,0,female,False,
dup_0060,41480bac7744b88909d986845d3ce3eddd243ab29214a038365d36d49406a0c1,visec_hf_001283,1283,01283.wav,14,north,happy,0,male,False,
dup_0053,3c28979994a1ba4f2d3accee07e2c6bf9dc06fb4ad6fbe23774e54301bb33a7c,visec_hf_001295,1295,01295.wav,46,north,happy,0,male,False,
dup_0271,fa2a0232f545b23af70fb67525c8a6ef993321d184ce29c022c0d872094ecfae,visec_hf_001312,1312,01312.wav,14,north,happy,0,male,False,
dup_0132,6f8fd4a28064f0867a0a1a1409d3761cf622ff02febad617e000b44249189876,visec_hf_001331,1331,01331.wav,15,south,happy,0,male,False,
dup_0265,ee14e34ebd8db6ad8204f8cf6e9ba26b1aadb6f1b0403888c7c980210ae4b7e6,visec_hf_001354,1354,01354.wav,38,south,happy,0,male,False,
dup_0065,435ee38410be7b15389cc33105bacdabddd2e00d6121312686bfc4f05071727e,visec_hf_001355,1355,01355.wav,116,central,happy,0,male,False,
dup_0062,41e3d324d65b1eadd154ec8b83f234264c8a7b5bd383e3a4dbcf40f6a1ac1c3c,visec_hf_001366,1366,01366.wav,27,north,happy,0,male,False,
dup_0041,2b97ae7645a720aefe2c804f8f8a529f01e039cc0d553ecb109b31c31b9d3ad6,visec_hf_001383,1383,01383.wav,4,south,happy,0,male,False,
dup_0097,572699faf25f965fac5943e256b09b51a9a92a4c6ec90aee7845262317897b71,visec_hf_001410,1410,01410.wav,84,north,happy,0,male,False,
dup_0259,ea7e7511b0e19d8e274a6f4c869024052983f5ac8424c19d7eaf3638cc023671,visec_hf_001420,1420,01420.wav,83,south,happy,0,female,False,
dup_0116,675890fa1af8e7f6f9921aacd8978ffa2f5bec28be05ef98c1755225cae409a1,visec_hf_001425,1425,01425.wav,6,central,happy,0,female,False,
dup_0215,b92bfc2952b674e7e92857aeab9cdf9153175cc2ebdcc662248178e209f572f3,visec_hf_001426,1426,01426.wav,14,north,happy,0,male,False,
dup_0058,407d05e313178a7db71a3d65610eb4daed154ba0bb3938342ab15e1b35bfd85c,visec_hf_001460,1460,01460.wav,52,north,happy,0,female,False,
dup_0068,4718f06e36b7ae964dabc6e28cde5cb37f5e9a324213d332b072a621e9572f09,visec_hf_001461,1461,01461.wav,54,north,happy,0,female,False,
dup_0163,8c54358252e8a1d35bafe4f22c3c01af3c879c94e034738681f50c4a4f8627f3,visec_hf_001463,1463,01463.wav,14,north,happy,0,male,False,
dup_0269,f795d3537469e1960f68a72d90bc52206dedc8a2adc9ff288bc5e2cab4b9f1f3,visec_hf_001488,1488,01488.wav,28,central,happy,0,male,False,
dup_0067,45a9043d315a04ef9492883c77363ce7a5c27cc19b4ab2750b512276d6ebd8aa,visec_hf_001505,1505,01505.wav,57,north,happy,0,male,False,
dup_0136,71ffb2046ede3bc840cf1ba97a1a72f85b71ad2faa393bf54be28015369f1d03,visec_hf_001515,1515,01515.wav,22,north,happy,0,female,False,
dup_0001,00b3683fc917de4d912bc54a7f10a31aa9b8652c6c09b53d75e82f0672d9750e,visec_hf_001520,1520,01520.wav,6,central,happy,0,female,False,
dup_0078,4f47791beadba0efe0c12ec291f67f893341aac89900248d03ee8aee405a543a,visec_hf_001522,1522,01522.wav,60,north,happy,0,female,False,
dup_0205,ac42be9b58250d08578c622eb473be39a7e6ef13624b78ec23350d0c8813eef0,visec_hf_001527,1527,01527.wav,29,north,happy,0,female,False,
dup_0161,8bfff1776ad0a4775334d2d4adf4be2a7b06ecee5b03d9add058986d67ec10d0,visec_hf_001530,1530,01530.wav,3,north,happy,0,female,False,
dup_0261,eb9074b072518fd916c3e7be839344d88ef4f2a3746bffeb6f6384a78300afb6,visec_hf_001534,1534,01534.wav,40,north,happy,0,female,False,
dup_0040,2b70445ff4d556a4cec5dac2a302a21c81f1811638d03b1ea5fda9987f38491b,visec_hf_001544,1544,01544.wav,6,central,happy,0,female,False,
dup_0145,7eb68b79bcfd8d9dc6d659f42558f70554a05c9d4c9d1d42f5a1eddc91121af3,visec_hf_001559,1559,01559.wav,16,north,happy,0,female,False,
dup_0135,71c5fd5029e553770ddba27f8cbf09fc448ac34e6fac84f0c56641caf73b9c88,visec_hf_001575,1575,01575.wav,99,south,happy,0,male,False,
dup_0076,4d27c503cff5df6412ae91f0ef34ae791b67e3307501b5266c0c94d128f54211,visec_hf_001583,1583,01583.wav,85,south,sad,2,male,False,
dup_0056,3e4690673ddbe484b335f7f2a82f9d5cfd23a068369414bae5be567dc832a485,visec_hf_001591,1591,01591.wav,14,north,happy,0,male,False,
dup_0220,bd21d2b081e6e448bdc4bec591c34c9e0501c0eee07afb7ec59c99eec3dbd85c,visec_hf_001593,1593,01593.wav,44,south,sad,2,female,False,
dup_0229,ca117e131ef3ffecdcafe81b1406ab2b2d6a9f44c22a7f723f347311ab5b689a,visec_hf_001596,1596,01596.wav,40,north,happy,0,female,False,
dup_0122,6abb341176358692722eb46fa00c7bbf916bd39d5c99013bca9752cd13336b6f,visec_hf_001601,1601,01601.wav,14,north,happy,0,male,False,
dup_0136,71ffb2046ede3bc840cf1ba97a1a72f85b71ad2faa393bf54be28015369f1d03,visec_hf_001617,1617,01617.wav,22,north,happy,0,female,False,
dup_0033,220bef2df9bbb673bc4ab90be31dd9004d83710672b84778e09b317470537ef3,visec_hf_001622,1622,01622.wav,6,central,happy,0,female,False,
dup_0002,0391ca4057cc8d733f1eb9edb731a0b632bd7a26ff3c23076ccf94834926066d,visec_hf_001627,1627,01627.wav,94,central,happy,0,male,False,
dup_0043,2d3edbad3bf8d1c9e535b6203111298fa1fad63411013976c0d1062253ac3840,visec_hf_001633,1633,01633.wav,3,north,happy,0,female,False,
dup_0147,81b514a68c98526782a0a729cabee3c8f816738e16d75eacfebaed02f5eb9577,visec_hf_001644,1644,01644.wav,6,central,happy,0,female,False,
dup_0154,86356af400eccdabef057eb247eb3e426452c14f8dc6e4d782e840f0fcc8109d,visec_hf_001656,1656,01656.wav,14,north,happy,0,male,False,
dup_0222,c09d5f32ce63fe1e95e36b4ff11634ed971c552fdc977795f8376c08d5e1ae6e,visec_hf_001665,1665,01665.wav,60,north,happy,0,female,False,
dup_0276,fbd2855e36a112a5a8d9150ac2c6a33a277a30ff847d99734d45b5560bd5dee5,visec_hf_001710,1710,01710.wav,15,south,happy,0,male,False,
dup_0162,8c2bbc3f53f17fe573da5e7378f020d16b226b764711ecdf353c7119038c022a,visec_hf_001726,1726,01726.wav,40,north,happy,0,female,False,
dup_0123,6aeec69c15aeee3899234a17b98e97c1f8c27228c07868bffd4b800d11d15d3c,visec_hf_001729,1729,01729.wav,87,north,happy,0,male,False,
dup_0185,9a91f822ba5d249dad9c00043166a781188d0219dffe6034b12300c79bb1284f,visec_hf_001731,1731,01731.wav,6,central,happy,0,female,False,
dup_0242,d9e731ea11f454e73f8feae04b6c008109ba4b014c5c0eea2921a8132cfd737f,visec_hf_001743,1743,01743.wav,116,central,happy,0,male,False,
dup_0251,e462589478829e777a64d4975f3acca3ed4e7a51e7b7ba678714d95a642989ee,visec_hf_001750,1750,01750.wav,15,south,happy,0,male,False,
dup_0177,9359e2c84c3a1cded425436d6056cda81b6cdc5d8f62cce1829afe3d67d5c898,visec_hf_001760,1760,01760.wav,12,north,sad,2,male,False,
