chunk_id,eligible_offset,requested_size,actual_size,eligible_end_exclusive,first_source_row_index,last_source_row_index,first_sample_id,last_sample_id,selection_sha256,run_name,report_path,evidence_index_path,command
10,2560,256,256,2816,2630,2898,visec_hf_002630,visec_hf_002898,edfd0eb8933081162b4c1a8a5d6f9f388fb6e2429832dcb7856e79612717edd4,wav2vec2_chunk_o002560_n000256,reports/tables/b4/b4_wav2vec2_chunk_o002560_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o002560_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 2560 --chunk-size 256
11,2816,256,256,3072,2900,3173,visec_hf_002900,visec_hf_003173,db9d5976ba90813fe5663c318106c371496fdb4f79abfeabed7a97e16b4aa3e5,wav2vec2_chunk_o002816_n000256,reports/tables/b4/b4_wav2vec2_chunk_o002816_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o002816_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 2816 --chunk-size 256
12,3072,256,256,3328,3174,3440,visec_hf_003174,visec_hf_003440,b2680d1da29920e24d205cbd5aed808b598dd4ff1daef4c7411f5b65bf8643e5,wav2vec2_chunk_o003072_n000256,reports/tables/b4/b4_wav2vec2_chunk_o003072_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o003072_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 3072 --chunk-size 256
13,3328,256,256,3584,3441,3718,visec_hf_003441,visec_hf_003718,9a350bb106c49bdf5fa928a13ca6cde1f2c8fe892fc031767af02c469dd08754,wav2vec2_chunk_o003328_n000256,reports/tables/b4/b4_wav2vec2_chunk_o003328_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o003328_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 3328 --chunk-size 256
14,3584,256,256,3840,3719,3997,visec_hf_003719,visec_hf_003997,6b5ebfa9596db777319d4ac042a283b6dd0b9be3efde37a99336bb73c893e16f,wav2vec2_chunk_o003584_n000256,reports/tables/b4/b4_wav2vec2_chunk_o003584_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o003584_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 3584 --chunk-size 256
15,3840,256,256,4096,3998,4275,visec_hf_003998,visec_hf_004275,e7a36433eafba8326a5fd78cee7af39f0e25cacf1c3027af29cab3bac5e2c6e1,wav2vec2_chunk_o003840_n000256,reports/tables/b4/b4_wav2vec2_chunk_o003840_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o003840_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 3840 --chunk-size 256
16,4096,256,256,4352,4276,4561,visec_hf_004276,visec_hf_004561,de9cc63c4b076ed022fb82fe5efdf2e9e343bc74f891f3328c0e354093bb78d4,wav2vec2_chunk_o004096_n000256,reports/tables/b4/b4_wav2vec2_chunk_o004096_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o004096_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 4096 --chunk-size 256
17,4352,256,256,4608,4563,4857,visec_hf_004563,visec_hf_004857,a3191ea15984715196925ff2dce617e9bee4b9f0cfd29375a15055145edc8716,wav2vec2_chunk_o004352_n000256,reports/tables/b4/b4_wav2vec2_chunk_o004352_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o004352_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 4352 --chunk-size 256
18,4608,256,256,4864,4858,5139,visec_hf_004858,visec_hf_005139,c524c5440d92e33865ef835a6a737f3cc98b2470b6ea3239ab37823e938f1ea8,wav2vec2_chunk_o004608_n000256,reports/tables/b4/b4_wav2vec2_chunk_o004608_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o004608_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 4608 --chunk-size 256
19,4864,256,128,4992,5140,5279,visec_hf_005140,visec_hf_005279,448aa9bfcb3142da251cb9518164383b6524481e6470476aad2229e6d31f0968,wav2vec2_chunk_o004864_n000128,reports/tables/b4/b4_wav2vec2_chunk_o004864_n000128_run.json,reports/tables/b4/b4_wav2vec2_chunk_o004864_n000128_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 4864 --chunk-size 256
