sample_id,speaker_id,accent,emotion,pca_1,pca_2
visec_hf_000042,0,south,happy,0.51749647,-0.005432237
visec_hf_000043,3,north,angry,-0.4635177,0.9347936
visec_hf_000044,0,south,angry,0.9982405,-0.07869166
visec_hf_000045,0,south,happy,0.71967155,-0.4579007
visec_hf_000046,19,north,neutral,-1.0354638,0.6408536
visec_hf_000047,0,south,sad,0.84678096,0.081612155
visec_hf_000048,20,south,happy,-0.37045798,0.09815799
visec_hf_000049,21,south,happy,-0.7956311,0.9389837
visec_hf_000050,22,north,angry,0.005248439,1.0240383
visec_hf_000051,0,south,happy,0.19052197,1.0444609
visec_hf_000052,0,south,neutral,0.42663294,0.38856462
visec_hf_000053,23,south,sad,-0.37749904,0.89114946
visec_hf_000054,6,central,happy,0.2228087,1.0092751
visec_hf_000055,15,south,neutral,-0.7252135,-0.6486115
visec_hf_000056,0,south,sad,0.5321424,0.16582698
visec_hf_000057,0,south,sad,0.08183824,-0.3818839
visec_hf_000058,0,south,angry,0.94180393,0.38254258
visec_hf_000059,3,north,neutral,-0.76791155,0.5628079
visec_hf_000060,12,north,happy,-0.55715555,0.42256862
visec_hf_000061,0,south,happy,1.0388585,-0.32502496
visec_hf_000062,15,south,happy,-0.9273183,-0.11702373
visec_hf_000063,24,south,angry,-0.3008324,-0.17062752
visec_hf_000064,15,south,happy,-0.86955357,-0.7409023
visec_hf_000065,0,south,sad,0.65217096,-0.50368685
visec_hf_000066,25,north,happy,0.6896394,-0.28236955
visec_hf_000067,26,north,happy,-0.86418283,0.8300583
visec_hf_000068,27,north,angry,-0.8535546,-0.5155474
visec_hf_000069,6,central,happy,0.46713364,0.2049285
visec_hf_000070,14,north,angry,0.09390303,-0.07585541
visec_hf_000071,0,south,happy,0.57995605,0.21855709
visec_hf_000072,2,south,sad,0.28890327,0.44995835
visec_hf_000073,12,north,happy,-0.5560553,-0.07730258
visec_hf_000074,28,south,neutral,-1.0530918,-0.30197966
visec_hf_000075,12,north,angry,-0.58402914,0.06117172
visec_hf_000076,0,south,angry,1.3281039,-0.26961157
visec_hf_000077,0,south,neutral,0.14679274,0.34962752
visec_hf_000078,1,south,neutral,-0.64348394,-0.7313811
visec_hf_000079,6,central,sad,0.12822272,0.2673817
visec_hf_000080,6,central,neutral,0.7286381,1.0054119
visec_hf_000081,0,south,sad,0.72010815,-0.42139688
visec_hf_000082,29,north,sad,-0.6683262,0.1263476
visec_hf_000083,30,north,neutral,-0.9132778,0.14573812
visec_hf_000084,22,north,angry,0.7503449,0.48819575
visec_hf_000085,31,north,happy,-0.65985674,0.7812551
visec_hf_000086,0,south,angry,0.20692778,-0.23551422
visec_hf_000087,0,south,angry,0.1116679,0.24009597
visec_hf_000088,1,south,neutral,-0.91507196,-0.25294355
visec_hf_000089,32,south,sad,-0.23017593,1.0704385
visec_hf_000090,0,south,neutral,0.1974142,0.31790355
visec_hf_000091,33,central,happy,-0.42520556,0.97141564
visec_hf_000092,0,south,angry,0.30221918,-0.3563054
visec_hf_000093,0,south,angry,0.87080675,0.5201316
visec_hf_000094,15,south,neutral,-0.6553427,-1.0622185
visec_hf_000095,15,south,happy,-0.59397674,-1.0863312
visec_hf_000096,0,south,angry,0.8220331,-0.020245153
visec_hf_000097,29,north,neutral,-0.8722553,0.89505655
visec_hf_000098,0,south,angry,1.073349,-0.3688179
visec_hf_000099,0,south,angry,1.4609656,-0.39820418
visec_hf_000100,0,south,angry,1.2110103,-0.4265163
visec_hf_000102,34,north,angry,-0.33737037,-1.1595232
visec_hf_000103,0,south,angry,1.1369325,0.49333537
visec_hf_000104,35,north,angry,-0.2400937,0.066628955
visec_hf_000105,25,north,happy,-0.46357873,-0.1328132
visec_hf_000106,15,south,sad,-0.89406204,-0.3878823
visec_hf_000107,6,central,happy,0.29025385,0.020764455
visec_hf_000108,36,north,neutral,-0.9321219,0.48336673
visec_hf_000109,15,south,neutral,-0.67567974,-0.7827935
visec_hf_000110,15,south,neutral,-1.1094989,0.6282796
visec_hf_000111,37,central,angry,-0.70987755,-0.18841231
visec_hf_000112,0,south,angry,0.5139542,0.32148677
visec_hf_000113,15,south,happy,-0.4483306,-0.8354077
visec_hf_000114,33,central,neutral,-0.8418127,0.74226207
visec_hf_000115,3,north,sad,-0.3845711,-0.020275453
visec_hf_000116,0,south,angry,1.1273376,0.044795677
visec_hf_000117,0,south,sad,0.32933584,-0.26306096
visec_hf_000118,14,north,angry,-0.29227692,-0.06323948
visec_hf_000119,0,south,neutral,-0.13662267,0.20033853
visec_hf_000120,6,central,happy,0.10023811,1.019474
visec_hf_000121,0,south,angry,0.7836287,0.026328206
visec_hf_000122,0,south,neutral,0.088205926,0.16371682
visec_hf_000123,0,south,neutral,-0.23840751,0.19258283
visec_hf_000124,38,south,sad,-0.60275227,-0.76939374
visec_hf_000125,15,south,neutral,-0.98701364,-0.193797
visec_hf_000126,19,north,neutral,-0.8517881,-0.06435957
visec_hf_000127,0,south,neutral,0.237091,0.18127617
visec_hf_000128,0,south,angry,0.32412714,0.4646179
visec_hf_000129,39,south,neutral,-0.59222853,0.007894544
visec_hf_000130,40,north,happy,-0.21108232,0.71028364
visec_hf_000131,0,south,happy,0.25805005,-0.48435652
visec_hf_000132,0,south,angry,0.82567406,0.08654352
visec_hf_000133,38,south,sad,-0.46002275,-1.0461326
visec_hf_000134,12,north,angry,0.66546255,-0.58192855
visec_hf_000135,14,north,happy,0.03159078,0.083474666
visec_hf_000136,0,south,angry,1.4379754,0.0025337874
visec_hf_000137,15,south,neutral,-0.7606792,-0.36743546
visec_hf_000138,41,north,happy,-0.85872,0.5481677
visec_hf_000139,15,south,neutral,-0.6297966,-0.6004091
visec_hf_000140,15,south,neutral,-0.64398384,-1.0473114
visec_hf_000141,29,north,happy,-0.38442895,0.7171276
visec_hf_000142,42,south,happy,-0.81151503,0.9673327
visec_hf_000143,43,south,angry,-0.34734514,-0.57969165
visec_hf_000144,44,south,angry,0.11814241,0.30453962
visec_hf_000145,45,south,happy,0.024178028,0.31780994
visec_hf_000146,46,north,neutral,-1.053343,0.64587545
visec_hf_000147,0,south,sad,0.3366154,0.24323283
visec_hf_000148,0,south,angry,0.90248597,-0.72502124
visec_hf_000149,47,north,neutral,-0.97456735,0.5711948
visec_hf_000150,4,south,neutral,-0.7564013,-0.50069916
visec_hf_000151,0,south,neutral,0.22351536,-0.010629272
visec_hf_000152,48,north,sad,-0.9062815,0.8959044
visec_hf_000153,0,south,angry,1.0693187,-0.24869955
visec_hf_000154,14,north,happy,-0.3209815,-0.39943343
visec_hf_000155,6,central,neutral,-0.14886238,1.0362153
visec_hf_000156,19,north,happy,-0.6681138,0.8249261
visec_hf_000157,0,south,neutral,0.06876061,0.048748348
visec_hf_000158,39,south,angry,-0.41854605,0.7776353
visec_hf_000159,0,south,sad,0.46984252,0.33168858
visec_hf_000160,0,south,angry,0.13847102,-0.40991434
visec_hf_000161,0,south,neutral,-0.12690566,0.2016167
visec_hf_000162,0,south,angry,0.5853984,0.14857563
visec_hf_000163,10,north,sad,-1.0617638,0.17453319
visec_hf_000164,0,south,angry,0.41631436,0.35442755
visec_hf_000165,0,south,neutral,0.06988427,0.22335121
visec_hf_000166,2,south,angry,0.8636272,-0.12762871
visec_hf_000167,1,south,neutral,-0.7709156,-0.28743228
visec_hf_000168,0,south,angry,0.79569596,0.940597
visec_hf_000169,38,south,happy,-0.9976387,0.38974956
visec_hf_000170,0,south,sad,-0.054874483,0.05901893
visec_hf_000171,49,south,sad,0.97409093,0.48315057
visec_hf_000172,50,north,angry,-0.50511587,-0.51229566
visec_hf_000173,36,north,neutral,-0.9489021,0.028538555
visec_hf_000174,51,south,angry,0.31009093,-0.42424127
visec_hf_000175,0,south,happy,-0.7016051,0.7651037
visec_hf_000176,12,north,neutral,-0.91287893,-0.034419023
visec_hf_000177,0,south,neutral,0.6155144,0.43826544
visec_hf_000178,15,south,neutral,-1.2785791,0.2715352
visec_hf_000179,52,north,happy,-0.33315915,0.9753345
visec_hf_000180,0,south,angry,0.118096024,-0.6500888
visec_hf_000181,0,south,angry,1.0944746,-0.24583215
visec_hf_000182,0,south,angry,0.66935784,-0.2506407
visec_hf_000183,15,south,neutral,-0.9668264,0.56703115
visec_hf_000184,14,north,angry,0.52353275,0.6894794
visec_hf_000185,1,south,neutral,-0.85963947,-0.38384253
visec_hf_000186,0,south,happy,-0.28053,0.84674907
visec_hf_000187,14,north,angry,-0.9993087,1.0049412
visec_hf_000188,0,south,sad,0.070769265,0.20255584
visec_hf_000189,6,central,happy,-0.11310524,1.1030625
visec_hf_000190,2,south,neutral,-0.31838936,0.86375403
visec_hf_000191,38,south,sad,-0.47864935,-1.1258595
visec_hf_000192,3,north,sad,-0.57033855,0.35204732
visec_hf_000193,46,north,neutral,-0.89044744,-0.6095799
visec_hf_000194,2,south,neutral,0.3448301,0.59578294
visec_hf_000195,14,north,happy,0.022144862,-0.13057722
visec_hf_000196,0,south,happy,0.04585232,0.34604692
visec_hf_000197,10,north,neutral,-0.7072405,-0.6100949
visec_hf_000198,0,south,sad,0.647442,-0.22622985
visec_hf_000199,53,south,neutral,-0.16012868,0.53100085
visec_hf_000200,0,south,happy,0.5380441,-0.18245827
visec_hf_000201,6,central,happy,1.5112288,0.2837636
visec_hf_000202,0,south,happy,0.46674377,0.16803826
visec_hf_000203,0,south,sad,-0.34186473,0.15670565
visec_hf_000204,14,north,happy,-0.0087554855,-0.003790166
visec_hf_000205,15,south,happy,-0.69351965,-0.51346904
visec_hf_000206,15,south,neutral,-0.75051385,-0.7392435
visec_hf_000207,6,central,happy,0.17343219,1.0810456
visec_hf_000208,0,south,happy,0.0460397,0.46402273
visec_hf_000209,0,south,sad,-0.043809704,-0.15940996
visec_hf_000210,54,north,sad,-0.16227496,0.8679807
visec_hf_000211,28,south,neutral,-0.5539178,-1.2415845
visec_hf_000212,0,south,happy,0.5555886,0.5961336
visec_hf_000213,52,north,happy,0.07608369,-0.69382524
visec_hf_000214,55,south,angry,-0.79925674,0.7092389
visec_hf_000215,31,north,neutral,-0.018037215,-1.0109686
visec_hf_000216,0,south,angry,1.4660507,-0.25260243
visec_hf_000217,4,south,angry,-1.14376,0.2322465
visec_hf_000218,2,south,sad,0.41991127,0.19580331
visec_hf_000219,0,south,neutral,0.40629587,0.32629678
visec_hf_000220,14,north,neutral,-0.58663785,-0.3341319
visec_hf_000221,56,south,neutral,-0.998131,0.8308495
visec_hf_000222,0,south,sad,0.41431296,0.26289064
visec_hf_000223,6,central,happy,0.9950766,-0.47319323
visec_hf_000224,57,north,sad,-0.61969614,-0.5900982
visec_hf_000225,15,south,angry,-0.94393075,1.0045223
visec_hf_000226,0,south,angry,0.5938232,0.29491138
visec_hf_000227,26,north,sad,-0.6550501,-0.3348049
visec_hf_000228,0,south,angry,0.71990734,-0.30744216
visec_hf_000229,0,south,angry,1.2486739,-0.2496981
visec_hf_000230,3,north,neutral,-0.85551256,-0.26971024
visec_hf_000231,57,north,neutral,-0.6790728,-0.13996288
visec_hf_000232,0,south,happy,0.17024852,0.038666036
visec_hf_000233,0,south,angry,1.2110401,-0.5610276
visec_hf_000234,15,south,neutral,-0.8906118,-0.7003385
visec_hf_000235,0,south,happy,0.45892596,0.4597152
visec_hf_000236,0,south,sad,-0.008816377,0.1306642
visec_hf_000237,58,south,sad,-0.48644987,0.029765164
visec_hf_000238,21,south,happy,-0.68028563,0.71258837
visec_hf_000239,59,south,neutral,0.34261957,-0.69812655
visec_hf_000240,0,south,sad,1.2105759,0.12501682
visec_hf_000241,60,north,neutral,-0.923741,0.7229047
visec_hf_000242,19,north,sad,-0.51433355,-0.73365146
visec_hf_000243,61,north,neutral,-0.962473,0.13593087
visec_hf_000244,0,south,neutral,0.33948264,0.2883435
visec_hf_000245,0,south,neutral,0.12953703,0.3040057
visec_hf_000246,12,north,happy,0.65827477,0.05597841
visec_hf_000247,23,south,angry,-0.54757977,-0.3045581
visec_hf_000248,0,south,angry,0.3314112,0.10969911
visec_hf_000249,62,south,happy,-0.9748476,1.0813309
visec_hf_000250,26,north,angry,-0.13927895,-0.6922289
visec_hf_000251,0,south,neutral,-0.7160034,-0.09019139
visec_hf_000252,4,south,sad,-0.86775607,-0.58939236
visec_hf_000253,0,south,angry,0.7192525,0.17759927
visec_hf_000254,6,central,neutral,0.478691,-0.16177258
visec_hf_000255,63,south,neutral,-0.35552362,-1.0376031
visec_hf_000256,0,south,happy,0.30677512,-0.47061917
visec_hf_000257,38,south,happy,-0.80728936,0.6861094
visec_hf_000258,64,south,neutral,-0.13938147,-0.6582859
visec_hf_000259,0,south,angry,1.3540783,-0.4118062
visec_hf_000260,0,south,neutral,0.884311,0.46009478
visec_hf_000261,65,central,sad,1.08288,0.3860019
visec_hf_000262,58,south,neutral,-0.3992019,-0.34506005
visec_hf_000263,38,south,sad,-0.63250834,-1.034971
visec_hf_000264,49,south,sad,-0.31920803,0.5508467
visec_hf_000265,46,north,angry,-0.9731178,0.46484193
visec_hf_000266,16,north,neutral,-0.5832974,-0.36378768
visec_hf_000267,0,south,sad,0.2445138,0.08127651
visec_hf_000268,38,south,sad,-0.9206657,-0.4444469
visec_hf_000269,0,south,angry,0.24716252,0.689706
visec_hf_000270,54,north,sad,0.6478121,0.13732858
visec_hf_000271,29,north,neutral,-0.58469546,0.6713276
visec_hf_000273,0,south,neutral,0.5784422,0.30901176
visec_hf_000274,15,south,neutral,-1.0797272,0.66381115
visec_hf_000275,66,north,angry,-0.8618397,-0.20145923
visec_hf_000277,0,south,angry,0.9111892,-0.91885716
visec_hf_000278,0,south,sad,0.23397857,0.25814712
visec_hf_000279,59,south,sad,1.014079,-0.4161699
visec_hf_000280,12,north,neutral,-0.87183994,-0.6622537
visec_hf_000281,0,south,angry,0.9231086,0.25739115
visec_hf_000282,0,south,happy,0.6523854,-0.32142663
visec_hf_000283,23,south,sad,-0.48229703,0.6569012
visec_hf_000284,67,north,neutral,-0.68927824,-1.1812186
visec_hf_000285,0,south,neutral,-0.87600493,0.030712944
visec_hf_000286,68,south,happy,-0.18948653,0.5143311
visec_hf_000287,60,north,happy,-0.8347751,0.7363252
visec_hf_000288,44,south,sad,-0.5142225,-0.59573424
visec_hf_000289,19,north,happy,-0.9792967,0.8762056
visec_hf_000290,0,south,happy,0.8707154,-0.59345645
visec_hf_000291,8,south,sad,0.051251277,0.9352604
visec_hf_000292,0,south,happy,0.23579611,-0.19245785
visec_hf_000293,0,south,happy,0.47725013,0.09579658
visec_hf_000294,0,south,neutral,0.29576778,0.08536161
visec_hf_000295,69,central,angry,-0.6472928,0.63383657
visec_hf_000296,0,south,neutral,0.013940638,0.1770427
visec_hf_000297,0,south,angry,0.8895959,-0.043359373
visec_hf_000298,38,south,happy,-0.58148736,-0.8142209
visec_hf_000299,2,south,angry,0.5403155,-0.20550576
visec_hf_000300,16,north,neutral,-0.7919153,-0.3324147
visec_hf_000301,0,south,sad,-0.12726684,-0.24091929
visec_hf_000302,16,north,neutral,-0.4133462,-0.84180605
visec_hf_000303,0,south,neutral,0.34860405,0.4968233
visec_hf_000304,14,north,happy,-0.029914537,-0.95593417
visec_hf_000305,0,south,sad,1.0954131,-0.31988445
visec_hf_000306,6,central,happy,-0.33649266,1.1499355
visec_hf_000307,0,south,sad,0.28450257,-0.62867785
visec_hf_000308,2,south,sad,0.14857987,1.0039562
visec_hf_000309,70,south,sad,-0.15259138,-0.37486154
visec_hf_000310,0,south,angry,1.2278016,-0.021961998
visec_hf_000311,29,north,sad,-1.1316099,1.0304008
visec_hf_000312,23,south,angry,-0.7036313,-0.19724251
visec_hf_000313,71,south,neutral,-0.4468,-0.039972916
visec_hf_000314,57,north,sad,-0.97353953,-0.30168498
visec_hf_000315,29,north,happy,-0.62170047,0.90717477
visec_hf_000316,0,south,sad,0.18455201,0.40726334
visec_hf_000317,15,south,angry,-0.9498194,-0.5860198
visec_hf_000318,16,north,sad,-0.10231538,-0.11848987
visec_hf_000319,0,south,neutral,-0.05587974,0.32646513
visec_hf_000320,0,south,sad,1.1762651,0.38869342
visec_hf_000321,3,north,sad,-0.72296387,0.12428622
visec_hf_000322,0,south,angry,0.9545524,0.13365461
visec_hf_000323,2,south,angry,0.94812125,0.14048404
visec_hf_000324,0,south,angry,0.71604383,0.047730226
visec_hf_000325,27,north,happy,-0.51303816,-1.2988744
visec_hf_000326,72,central,happy,-0.6106878,0.81700236
visec_hf_000327,0,south,angry,0.3375541,0.504988
visec_hf_000328,2,south,sad,0.28748348,-0.17485937
visec_hf_000329,0,south,neutral,0.19252099,0.23822531
visec_hf_000330,0,south,neutral,0.2793677,0.368727
visec_hf_000331,0,south,sad,0.3904568,0.44820902
visec_hf_000332,0,south,angry,1.1432762,-0.12834159
visec_hf_000333,0,south,angry,0.2133864,0.5580798
visec_hf_000334,4,south,angry,-0.8351315,-0.28016934
visec_hf_000335,73,north,happy,-0.8717727,0.77466184
visec_hf_000336,49,south,angry,-0.2387282,0.7991487
visec_hf_000337,56,south,neutral,-0.077709936,-0.79677415
visec_hf_000338,0,south,sad,0.97569114,-0.17538358
visec_hf_000339,63,south,angry,-0.23882653,-0.8352449
visec_hf_000340,12,north,happy,-0.5101474,-0.21798733
visec_hf_000341,30,north,neutral,-0.7153339,-0.7741139
visec_hf_000342,0,south,angry,0.87298393,0.34120223
visec_hf_000343,14,north,angry,0.2333754,0.5817541
visec_hf_000344,0,south,sad,0.82423216,0.41178167
visec_hf_000345,74,north,happy,-0.7892935,0.8692698
visec_hf_000346,0,south,neutral,-0.5789499,0.24121352
visec_hf_000347,0,south,neutral,0.3389675,0.110758096
visec_hf_000348,25,north,neutral,-0.13045564,-1.1063813
visec_hf_000349,0,south,sad,0.07552134,0.21309286
visec_hf_000350,0,south,neutral,0.26764587,0.101114474
visec_hf_000351,75,north,neutral,-1.0695438,0.52077127
visec_hf_000352,6,central,happy,0.05098494,1.0348516
visec_hf_000353,76,south,neutral,-0.935294,-0.6145897
visec_hf_000354,77,north,neutral,-0.88967144,0.69874126
visec_hf_000355,78,north,neutral,-0.49584335,-0.61066365
visec_hf_000356,0,south,sad,0.13112096,0.49955288
visec_hf_000357,18,north,neutral,-0.4763561,-0.20679033
visec_hf_000358,23,south,sad,-0.5891787,-0.6856662
visec_hf_000359,54,north,neutral,-0.1332912,0.88480693
visec_hf_000360,44,south,angry,-0.8420068,-0.41449007
visec_hf_000361,79,south,angry,-0.43365932,-0.94276494
visec_hf_000362,4,south,neutral,-1.0200597,-0.10321653
visec_hf_000363,0,south,angry,0.42413124,0.40868205
visec_hf_000364,0,south,angry,1.2288986,0.17569801
visec_hf_000365,0,south,angry,0.30113184,0.11536704
visec_hf_000366,0,south,angry,1.0926021,0.35267973
visec_hf_000367,38,south,neutral,-0.38297415,-0.57059085
visec_hf_000368,28,south,neutral,-0.88741046,0.72472733
visec_hf_000369,0,south,angry,1.1328516,-0.5533908
visec_hf_000370,0,south,happy,-0.1496978,-0.29573393
visec_hf_000371,0,south,angry,0.68874454,-0.90786844
visec_hf_000372,0,south,neutral,-0.24327542,0.21216576
visec_hf_000373,55,south,neutral,-0.41126126,0.13019231
visec_hf_000374,41,north,angry,-0.66892004,0.9173477
visec_hf_000375,57,north,happy,-0.7618609,-0.75265926
visec_hf_000376,64,south,neutral,-0.6809544,-0.24770871
visec_hf_000377,0,south,neutral,0.22988102,0.17515792
visec_hf_000378,14,north,angry,0.20626943,0.77489686
visec_hf_000379,0,south,neutral,-0.17070581,0.28855398
visec_hf_000380,69,central,happy,-0.42245835,0.21280596
visec_hf_000381,0,south,sad,-0.40228698,0.39311898
visec_hf_000382,47,north,happy,-0.8926409,0.908666
visec_hf_000383,0,south,angry,0.7558433,-0.38147736
visec_hf_000384,1,south,neutral,-1.0524048,-0.4299358
visec_hf_000385,40,north,happy,-0.9257404,0.9436846
visec_hf_000386,63,south,neutral,0.12150339,-0.7472447
visec_hf_000387,52,north,angry,-0.2419746,0.8403668
visec_hf_000388,64,south,neutral,-0.4781505,-0.95000833
visec_hf_000389,38,south,happy,-1.3058048,0.40837312
visec_hf_000390,0,south,angry,1.3350048,0.22706692
visec_hf_000391,15,south,happy,-0.22812058,-1.2242709
visec_hf_000392,28,south,neutral,-1.1147226,0.5455313
visec_hf_000393,15,south,happy,-1.0558128,0.22342001
visec_hf_000394,0,south,sad,0.5111934,0.37743393
visec_hf_000395,42,south,happy,-0.69456124,-1.0059912
visec_hf_000396,0,south,angry,-0.49199188,0.08290935
visec_hf_000397,25,north,neutral,-0.4568185,-1.2701433
visec_hf_000398,15,south,neutral,-0.5491692,-1.3188845
visec_hf_000399,0,south,angry,0.7650073,-0.89698124
visec_hf_000400,80,north,sad,0.105680965,-0.77784723
visec_hf_000401,0,south,neutral,-0.46683565,0.27598622
visec_hf_000402,0,south,angry,1.0465647,-0.74058247
visec_hf_000403,0,south,sad,-0.012566062,-0.37106365
visec_hf_000404,0,south,neutral,-0.17978778,0.3913883
visec_hf_000405,6,central,happy,-0.059842695,0.9758178
visec_hf_000406,0,south,angry,0.81378233,0.537123
visec_hf_000407,53,south,neutral,-0.70162165,0.8632423
visec_hf_000408,0,south,neutral,0.46939725,0.25684083
visec_hf_000409,81,south,neutral,-0.7571296,0.59792054
visec_hf_000410,0,south,angry,0.75447583,0.20148304
visec_hf_000411,0,south,happy,0.32873076,0.09115469
visec_hf_000412,82,south,sad,-1.1368766,-0.37859997
visec_hf_000413,0,south,angry,0.705197,-0.1577575
visec_hf_000414,15,south,neutral,-0.5090109,-1.1370355
visec_hf_000415,0,south,happy,0.8786627,-0.3622483
visec_hf_000416,0,south,happy,0.68774384,0.23721898
visec_hf_000417,0,south,sad,0.8353029,-0.7278037
visec_hf_000418,0,south,sad,0.5582636,-0.3623109
visec_hf_000419,0,south,angry,0.33455837,0.10166403
visec_hf_000420,0,south,angry,1.1493642,-0.023078917
visec_hf_000421,60,north,happy,-0.23117018,-0.330273
visec_hf_000422,3,north,sad,-0.9315345,0.76609504
visec_hf_000423,38,south,happy,-0.8173625,0.48173997
visec_hf_000424,72,central,angry,-0.74309224,0.88224095
visec_hf_000425,0,south,sad,-0.10892642,-0.096011445
visec_hf_000426,10,north,neutral,-0.6605711,-0.74794203
visec_hf_000428,39,south,neutral,-0.3047047,-0.5158822
visec_hf_000429,0,south,sad,0.9816236,0.32156157
visec_hf_000430,12,north,happy,-0.83278304,0.9656569
visec_hf_000431,16,north,sad,-0.26505974,-0.090598956
visec_hf_000432,0,south,neutral,0.13692401,0.24269104
visec_hf_000433,14,north,neutral,0.1357141,-0.38947487
visec_hf_000434,50,north,angry,0.35468346,-0.4459917
visec_hf_000435,0,south,angry,0.6438268,-0.010785302
visec_hf_000436,44,south,happy,-0.23387283,-0.15064102
visec_hf_000437,0,south,angry,0.911399,0.25921264
visec_hf_000438,83,south,sad,-0.10619975,0.13248825
visec_hf_000439,0,south,angry,1.0898284,-0.30864802
visec_hf_000440,22,north,angry,0.02455894,0.7503083
visec_hf_000441,25,north,happy,-0.79376364,-0.55853707
visec_hf_000442,0,south,angry,0.43618983,0.4179476
visec_hf_000443,75,north,happy,-0.7603952,0.9412014
visec_hf_000444,2,south,neutral,0.077222526,0.974128
visec_hf_000445,0,south,angry,0.8593073,0.8732236
visec_hf_000446,2,south,angry,0.75703174,0.35210896
visec_hf_000447,0,south,angry,0.69562155,-0.42401245
visec_hf_000448,0,south,neutral,0.34515002,0.2878802
visec_hf_000449,0,south,angry,0.7673499,0.06148906
visec_hf_000450,0,south,angry,0.69214845,0.15318513
visec_hf_000451,15,south,happy,-0.7789521,-0.6356392
visec_hf_000452,46,north,neutral,-0.8678764,-0.2610414
visec_hf_000453,84,north,angry,-0.23204389,-0.00039480743
visec_hf_000454,0,south,angry,1.4805547,0.4207594
visec_hf_000455,85,south,sad,-1.0178739,1.0131599
visec_hf_000456,70,south,sad,0.061487034,-0.0027847085
visec_hf_000457,0,south,angry,0.8238755,0.0747725
visec_hf_000458,0,south,happy,-0.4611896,-0.26021975
visec_hf_000459,6,central,neutral,1.0103152,0.69394916
visec_hf_000460,0,south,angry,0.6012113,0.273935
visec_hf_000461,2,south,angry,0.36457273,0.43312812
visec_hf_000462,0,south,sad,0.24088097,0.02070161
visec_hf_000463,15,south,sad,-0.8820193,-0.37658322
visec_hf_000464,63,south,angry,-0.16966586,-0.51873666
visec_hf_000465,30,north,sad,-0.89282227,-0.13613883
visec_hf_000466,0,south,angry,1.1359218,-0.15963084
visec_hf_000467,15,south,angry,-0.544122,-0.9693898
visec_hf_000468,15,south,happy,-0.47668454,-1.371616
visec_hf_000469,6,central,happy,-0.39956087,1.050208
visec_hf_000470,0,south,angry,0.05839891,0.9342926
visec_hf_000471,0,south,sad,0.449547,0.16132328
visec_hf_000472,86,south,sad,-0.8132402,0.15301104
visec_hf_000473,52,north,neutral,0.47199488,0.39957392
visec_hf_000474,0,south,happy,0.61438704,-0.68201953
visec_hf_000475,68,south,happy,-0.25879365,0.096189015
visec_hf_000476,0,south,happy,0.031099316,-0.54955167
visec_hf_000477,57,north,sad,-1.4091978,0.31058538
visec_hf_000478,60,north,neutral,0.076293826,-0.7512865
visec_hf_000479,0,south,neutral,0.14677061,0.08414416
visec_hf_000480,23,south,sad,0.57682747,-0.10670249
